Nom,Nationalité,GEN-POT,Postes préférés,Age,Club
Lionel Messi,Argentine,9393,ADBUATT,34,Paris Saint-Germain
Robert Lewandowski,Pologne,9292,BU,33,Bayern München
Kylian Mbappé,France,9195,BUAG,22,Paris Saint-Germain
Cristiano Ronaldo,Portugal,9191,BUAG,36,Manchester United
Kevin De Bruyne,Belgique,9191,MCMOC,30,Manchester City
Neymar Jr,Brésil,9191,AGMOC,29,Paris Saint-Germain
Gianluigi Donnarumma,Italie,8993,G,22,Paris Saint-Germain
Joshua Kimmich,Allemagne,8990,MDCDD,26,Bayern München
Erling Haaland,Norvège,8894,BU,21,Borussia Dortmund
Bruno Fernandes,Portugal,8889,MOC,27,Manchester United
Romelu Lukaku,Belgique,8888,BU,28,Chelsea
Frenkie de Jong,Pays-Bas,8792,MCMDCDC,24,FC Barcelona
Jadon Sancho,Angleterre,8791,MDATTMG,21,Manchester United
Trent Alexander-Arnold,Angleterre,8790,DD,23,Liverpool
Matthijs de Ligt,Pays-Bas,8590,DC,22,Juventus
Marcus Rashford,Angleterre,8589,MGBU,23,Manchester United
Memphis Depay,Pays-Bas,8586,ATTAGMOC,27,FC Barcelona
Kai Havertz,Allemagne,8492,MOCATT,22,Chelsea
Phil Foden,Angleterre,8492,MOCAGMC,21,Manchester City
Federico Chiesa,Italie,8491,ADAGMD,23,Juventus
Theo Hernández,France,8490,DG,24,Milan
Emiliano Martínez,Argentine,8485,G,29,Aston Villa
Jack Grealish,Angleterre,8485,AGMGMOC,26,Manchester City
Alphonso Davies,Canada,8390,DGMG,20,Bayern München
Mason Mount,Angleterre,8389,MOCMCAD,22,Chelsea
Jules Koundé,France,8389,DC,22,Sevilla FC
Ousmane Dembélé,France,8388,AD,24,FC Barcelona
Ferran Torres,Espagne,8290,ADBU,21,Manchester City
Dayot Upamecano,France,8290,DC,22,Bayern München
Lucas Paquetá,Brésil,8287,MOCMC,24,Olympique Lyonnais
Raphinha,Brésil,8287,MDAD,24,Leeds United
Alexander Isak,Suède,8286,BU,22,Real Sociedad
Rodrigo Javier De Paul,Argentine,8283,MCATT,27,Atlético de Madrid
Pedri,Espagne,8191,MC,18,FC Barcelona
Victor Osimhen,Nigeria,8189,BU,22,Napoli
Edmond Tapsoba,Burkina Faso,8188,DC,22,Bayer 04 Leverkusen
Luis Díaz,Colombie,8186,MG,24,FC Porto
Reece James,Angleterre,8186,DLDDD,21,Chelsea
Nordi Mukiele,France,8185,DLDDCMD,23,RB Leipzig
Vinícius Jr.,Brésil,8090,AG,21,Real Madrid
Alessandro Bastoni,Italie,8088,DC,22,Inter
Antony,Brésil,8088,AD,21,Ajax
Bukayo Saka,Angleterre,8088,MDMG,20,Arsenal
Aurélien Tchouaméni,France,8087,MCMDC,21,AS Monaco
Boubacar Kamara,France,8086,MDCDC,21,Olympique de Marseille
Florian Wirtz,Allemagne,7990,MOCMC,18,Bayer 04 Leverkusen
Rodrygo,Brésil,7988,AD,20,Real Madrid
Moise Kean,Italie,7987,BU,21,Juventus
Maxence Lacroix,France,7986,DC,21,VfL Wolfsburg
Tammy Abraham,Angleterre,7986,BU,24,AS Rome
Emerson,Brésil,7984,DD,22,Tottenham Hotspur
Ryan Gravenberch,Pays-Bas,7890,MC,19,Ajax
Mason Greenwood,Angleterre,7889,MDBU,20,Manchester United
Eduardo Camavinga,France,7889,MCMDC,18,Real Madrid
Sandro Tonali,Italie,7887,MDCMC,21,Milan
Wesley Fofana,France,7886,DC,20,Leicester City
Ibrahima Konaté,France,7886,DC,22,Liverpool
Dušan Vlahović,Serbie,7885,BU,21,Fiorentina
Noa Lang,Pays-Bas,7885,AGADMOC,22,Club Brugge
Edson Álvarez,Mexique,7884,MDCDC,23,Ajax
Matty Cash,Angleterre,7883,DDDLD,24,Aston Villa
Adama Traoré,Espagne,7881,ADAGBU,25,Wolverhampton Wanderers
Noni Madueke,Angleterre,7788,MDBU,19,PSV
Jurriën Timber,Pays-Bas,7787,DCDD,20,Ajax
Jérémy Doku,Belgique,7787,ADMD,19,Stade Rennais
Rafael Leão,Portugal,7785,AGBUMG,22,Milan
Illan Meslier,France,7785,G,21,Leeds United
Patson Daka,Zambie,7784,BU,23,Leicester City
Ansu Fati,Espagne,7690,AG,18,FC Barcelona
Jamal Musiala,Allemagne,7688,MGMOC,18,Bayern München
Gabriel Martinelli,Brésil,7688,MG,20,Arsenal
Adam Hložek,Rép. tchèque,7687,BUMGMOC,19,Sparta Praha
Emile Smith Rowe,Angleterre,7686,MOCMG,21,Arsenal
Riqui Puig,Espagne,7685,MC,22,FC Barcelona
Eric García,Espagne,7685,DC,20,FC Barcelona
Julián Álvarez,Argentine,7685,ADBU,21,River Plate
Darwin Núñez,Uruguay,7685,BU,22,Benfica
Sergiño Dest,Etats-Unis,7685,DDMD,20,FC Barcelona
William Saliba,France,7684,DC,20,Olympique de Marseille
Joško Gvardiol,Croatie,7587,DCDG,19,RB Leipzig
Mingueza,Espagne,7583,DCDD,22,FC Barcelona
Giacomo Raspadori,Italie,7487,BUAG,21,Sassuolo
Thiago Almada,Argentine,7486,MOCAGAD,20,Vélez Sarsfield
Pedro De la Vega,Argentine,7486,ADAGMD,20,Lanús
Andriy Lunin,Ukraine,7485,G,22,Real Madrid
Anthony Lozano,Honduras,7474,BUMG,28,Cádiz CF
Rayan Cherki,France,7388,ADAG,18,Olympique Lyonnais
Harvey Elliott,Angleterre,7387,ADMC,18,Liverpool
Ilaix Moriba,Espagne,7385,MC,18,RB Leipzig
Curtis Jones,Angleterre,7385,MC,20,Liverpool
Konrad de la Fuente,Etats-Unis,7382,AGAD,20,Olympique de Marseille
Ben Brereton Díaz,Chili,7380,AGADBU,22,Blackburn Rovers
Karim Adeyemi,Allemagne,7286,BU,19,RB Salzburg
Javi Siverio Demir,Autriche,7285,ADMOC,18,FC Barcelona
Maarten Vandevoordt,Belgique,7187,G,19,Genk
Tanguy Nianzou,France,7185,DCMDC,19,Bayern München
Santiago Giménez,Mexique,7183,BUATTMOC,20,Cruz Azul
Xavi Simons,Pays-Bas,6683,MC,18,Paris Saint-Germain
Dane Scarlett,Angleterre,6386,BU,17,Tottenham Hotspur
Joshua Cavallo,Australie,5966,DGMDC,21,Adelaide United
